0	0.00115455341155344	0.0377052038098339	-0.284385449803889	0.614234799062052	-0.327228840103355	-0.0333978776916225	-0.00119219678244429	-0.0212760623967968	-0.286204286510306	0.619108091000253	-0.331559070940282	0.0160070127525087	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-509.937509490741	-515.062490509259
0.0005	0.00116309223522487	0.0379941605707931	-0.284346783200896	0.61413635673454	-0.327176905353663	-0.0336997922563975	-0.00120197618952016	-0.0209777742240751	-0.286247704799403	0.61918977999664	-0.331616272905205	0.0157434540466876	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-507.375075925926	-517.624924074074
0.001	0.00117162851632566	0.0382832051295134	-0.284307181235619	0.614036055327754	-0.327123972013423	-0.0340024883700412	-0.00121175157327265	-0.0206793593248379	-0.286289801393095	0.619268857078779	-0.331672381997619	0.0154798344929165	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-504.81275625	-520.18724375
0.0015	0.00118016180844346	0.0385723329456918	-0.284266643837971	0.613933896539268	-0.327070040465987	-0.0343059554616676	-0.00122152240007901	-0.0203808226580865	-0.286330573434088	0.619345317528573	-0.331727395234498	0.0152161602623065	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-502.250607407407	-522.749392592593
0.002	0.0011886916654037	0.0388615394619616	-0.284225171059496	0.613829882303863	-0.327015111233685	-0.0346101828984971	-0.00123128813702207	-0.0200821692026605	-0.286370018276152	0.619419157042812	-0.331781309803438	0.0149524375899869	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-499.688686342593	-525.311313657407
0.0025	0.00119721764132209	0.039150820104183	-0.284182763074591	0.613724014795851	-0.326959184979061	-0.0349151599869992	-0.00124104825195704	-0.0197834039568981	-0.286408133483187	0.619490371731223	-0.331834123061685	0.0146886727744114	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-497.12705	-527.87295
0.003	0.00120573929065711	0.0394401702817375	-0.284139420181728	0.613616296431379	-0.326902262506102	-0.0352208759740422	-0.0012508022135782	-0.0194845319382954	-0.28644491682826	0.619558958114492	-0.331885832535147	0.0144248721766493	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-494.565755324074	-530.434244675926
0.0035	0.00121425616826245	0.039729585387825	-0.284095142804664	0.613506729870731	-0.326844344761457	-0.0355273200480477	-0.00126054949148565	-0.0191855581831624	-0.286480366292633	0.619624913122233	-0.331936435917392	0.0141610422196626	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-492.004859259259	-532.995140740741
0.004	0.00122276782943926	0.0400190607997646	-0.284049931493656	0.613395318020612	-0.326785432835652	-0.0358344813401514	-0.00127028955625186	-0.0188864877462769	-0.28651448006476	0.619688234090933	-0.331985931068633	0.0138971893875685	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-489.44441875	-535.55558125
0.0045	0.00123127382998849	0.0403085918792983	-0.284003786926653	0.613282064036428	-0.326725527964284	-0.0361423489253695	-0.00128002187948825	-0.0185873257005362	-0.286547256539275	0.619748918761843	-0.332034316014698	0.0136333202248872	0	0	0	0.3	0.3	1.5	-1.27	-1	0	-1	0	0	0	-0.3	-0.3	-1.5	1.27	1	0	1	0	-486.884490740741	-538.115509259259
